S/N,Category,Title,Price,Item_url,Image_url
20,shoe,Nike Air Max 90 Essential Black And Red Men’s Shoes - Size 10,$82.05,https://www.ebay.com/itm/165093187519?hash=item2670521fbf:g:5C8AAOSw78dg5EmN,https://i.ebayimg.com/thumbs/images/g/5C8AAOSw78dg5EmN/s-l225.jpg
21,shoe,S49.156 Men's Lockdown 5 Basketball Shoe,$100.00,https://www.ebay.com/itm/313670812348?hash=item49083cc2bc:g:kH4AAOSwjO1hPM0E,https://i.ebayimg.com/thumbs/images/g/kH4AAOSwjO1hPM0E/s-l225.jpg
22,shoe,Vintage Men's ADIDAS TECH SUPER Shoes Trainers City Series UK 9 US 9.5 43 1/3,$25.97,https://www.ebay.com/itm/115010793857?hash=item1ac72d7181:g:uxgAAOSw1CNgu9cJ,https://i.ebayimg.com/thumbs/images/g/uxgAAOSw1CNgu9cJ/s-l225.jpg
23,shoe,Puma Mens Future Trinomic Swift Splatter Athletic Shoes Sneakers BHFO 6503,$26.09 to $28.79,https://www.ebay.com/itm/334067000403?hash=item4dc7f1e453:g:OpAAAOSwjyBg5N9f,https://i.ebayimg.com/thumbs/images/g/OpAAAOSwjyBg5N9f/s-l225.jpg
24,shoe,Nike Air Jordan 5 Retro Raging Bull Red 2021 (DD0587-600) Men's Size 7-15,$260.00 to $320.00,https://www.ebay.com/itm/184928521381?epid=17044905705&hash=item2b0e994ca5:g:HF0AAOSwY1Ng5PC1,https://i.ebayimg.com/thumbs/images/g/HF0AAOSwY1Ng5PC1/s-l225.jpg
25,shoe,Man's Sneakers & Athletic Shoes Reebok Royal BB4500 HI2 High Top,$72.84 to $95.00,https://www.ebay.com/itm/124703226698?epid=11022723102&hash=item1d08e43b4a:g:ln4AAOSw329gi66o,https://i.ebayimg.com/thumbs/images/g/ln4AAOSw329gi66o/s-l225.jpg
26,shoe,Men's GIESSWEIN Merino Wool Run Shoes Trainers Sneakers 44 US 10 UK 9.5 Lace Up,$54.69,https://www.ebay.com/itm/115010793803?hash=item1ac72d714b:g:wKwAAOSw0t1hP7zo,https://i.ebayimg.com/thumbs/images/g/wKwAAOSw0t1hP7zo/s-l225.jpg
27,shoe,Nike Men's Revolution 5 Running Shoe BQ6714 002 4E EXTRA WIDE WOLF GREY ALL SIZE,$62.99,https://www.ebay.com/itm/255149101961?epid=11045635820&hash=item3b68125389:g:f1AAAOSw1QxfmO06,https://i.ebayimg.com/thumbs/images/g/f1AAAOSw1QxfmO06/s-l225.jpg
28,shoe,Nike Air Cross Trainer Low Triple Black CQ9182-001 Training Shoes Sneakers,$142.49,https://www.ebay.com/itm/114713091722?epid=12045081668&_trkparms=ispr%3D1&hash=item1ab56ede8a:g:neIAAOSwz0JgQMDU&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSR84A%252FGMxXIqJzFmDq6lDLrg2Hd17Bh1dGerTbvaU%252FApqXZZqWDcFKXojUda2EYk%252FJWboXntGOv3xjPdCJ%252B7HDkpIUlD8lku1pSkarF0RQFZFPHp8EDuijZPJa8vFdd08L5XZSOj%252BuyliZTZUi4sMkQYzRBifhFiFjpi%252BVjSvEsVsXT%252B0BiLiPUxJB6cSd9RTahbFwgeYS1nq1vRLx8cCaJVvM5JrLNCD7kDbnQ7R9rWiTqdvABcZkrWovZ2%252FTpVEFbN5QDkQRV8sjqUFTOGKy0PdRaU%252FSidp0GvMNWHCtLy1p%252BeY1KjGwIYWJ76POZQ6KNAaRAZ7rJO4MolEDAqxsdYjJuuRyUgSaZfu8oEF%252ByLGFB0Pr0i2%252BdgMsrAZFOtdd46rJ0qQjF1p9uSrhFjUkt1k9wCeNdPinIqjPds3ek4GyeY6ej0kI0OHffBDb9sQp1bZTc%252F28HfhqYf377xfGD3oZh2o%252FZELMQXhmQo%252FiXx97%252BypZuhPzFYB%252B2YdnCN%252Bx%252Bf3zRz%252FDpM3d8tiURuCPOfMAnW8w0H1HQ8yCOFZYb3cbdosKEyliaP%252FqRT6Lh41iRVxWJu105n5kmoQ5iuObI7icdkoSaCcPU14SykQilOOj3GcxYfuO1HSXf7z9dfAgA%252FsmcA8f3ucRNT%252Bopox%252BJrALYgRpQR8DQPo2TQ%252BmWiWJUQMstvGudC74vpU8HnxnhaKPsmF1e8vZ8DAYvnP00ycn6hY3blErxg6PcnG5l1yh4zvbyTH%252FzaUX9D6KuurbR3WnWpJPkXFf6Oxhl2xdke0FB1vJkc2bfw98HvDD7ArTOjuRwjPMLZPnT9yDcxs%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/neIAAOSwz0JgQMDU/s-l225.jpg
29,shoe,Nike Blazer Mid '77 Summer Of Sport DN7996-101 White Leather Skate Shoe Sneakers,$170.99,https://www.ebay.com/itm/124919744076?_trkparms=ispr%3D1&hash=item1d15cc064c:g:wnUAAOSworBhT4Ow&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSxXDXcCydCuSj2Tq2S%252F3GnnEokOQ5NtpYcoWoSjeI1Bqz5LBnWrkkkeYOdsj2O%252BMrcND6BHo4j2a5xVwp4790Rcbl2DaDYrx%252BErdMSoPYx%252FkKsSD5XgwDv7DWU%252F2gGtR95iyBSOUdPnP9Og7eP4bkUXH%252FZGMueXKn3Sas9rX77BjFurvH2ILAINBpHObBB8faW%252BchxgRzr2mThqo5z1Y1cU7iU052XK1x%252B%252B46YqHsf2bm0K0tyt%252Fwxi2aKfMJSsNdQXPlWsSMrlsQA6ysfhiU0kPo9CpMWjNWxpA12OqzhZFMR5hgb55tmxpj76tm6IP8rIcuUWhBcJBpr6HqA9JQFkfc3r%252BqoW%252F72pDe5mLjM41USoeC2UZiZG3OPyVcpUDE1yhsXBBJPQeZHs1IZQS3Q1xyATrVoNe5tnv%252BYDArg0lrWj%252BVjjR%252FyRz6XGsk8prsGwdD0l8EafIqNjmLJySvd8r5jMa3%252BaKZzmTQvfJkMFDvXdxM7q6sMfdqqNciJHFyBgflzfwywl9gwWjn4kAc6mboYFagfYwDWGs1vaTmGkssDVQRxA8fkx4ipznzPxcHT40inpIANpg8xnAt1GotIlVQ4Jq3HVCUC%252FEmBjm%252F1hB5zDOnFyjzYSUZPk5EMVOtyQP1bcAhC3T22c2cZGIx7pDX1BbrX9ahJ1JhCwRnmG0f29dyoOcyywoxpMFm2BZY75DIWyBOfJIL0nZXOtwSjw0BwPwn28xLxMJPTa8ZUpyzF6eLgd0NVBc4pzlZukRQGOsLKFvxkdYZWoQiDk46NaeCpEO%252F6QmaUFE%252BHh2rs0hpjUOPm3IM2mCU84Cwjbm2%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/wnUAAOSworBhT4Ow/s-l225.jpg
